ds,y
2022-01-01,118
2022-02-01,124
2022-03-01,136
2022-04-01,145
2022-05-01,152
2022-06-01,159
2022-07-01,166
2022-08-01,163
2022-09-01,156
2022-10-01,149
2022-11-01,154
2022-12-01,172
2023-01-01,128
2023-02-01,134
2023-03-01,147
2023-04-01,155
2023-05-01,163
2023-06-01,170
2023-07-01,178
2023-08-01,174
2023-09-01,168
2023-10-01,161
2023-11-01,166
2023-12-01,185
2024-01-01,138
2024-02-01,145
2024-03-01,158
2024-04-01,167
2024-05-01,175
2024-06-01,183
2024-07-01,191
2024-08-01,188
2024-09-01,181
2024-10-01,174
2024-11-01,179
2024-12-01,198
